epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2891.49,1.34993,0.92511,0.00932,0.86449,0.80008,0.87629,0.50778,1.48218,0.80552,0.01206,0.0014588,0.0014588,0.0014588
43,2957.6,1.35029,0.92013,0.00916,0.9097,0.779,0.87688,0.51282,1.47071,0.77435,0.01204,0.0014456,0.0014456,0.0014456
44,3024.54,1.3339,0.90847,0.00936,0.89281,0.79882,0.88822,0.51321,1.50675,0.76361,0.01243,0.0014324,0.0014324,0.0014324
45,3091.34,1.33765,0.90188,0.00921,0.89863,0.78892,0.87614,0.50146,1.49857,0.80656,0.01249,0.0014192,0.0014192,0.0014192
46,3157.56,1.32146,0.88196,0.00901,0.8773,0.79912,0.87999,0.5171,1.46887,0.77634,0.01192,0.001406,0.001406,0.001406
47,3224.79,1.3111,0.88135,0.00905,0.89446,0.79715,0.889,0.5152,1.44793,0.76215,0.01187,0.0013928,0.0013928,0.0013928
48,3291.15,1.30612,0.87757,0.00905,0.91342,0.78758,0.88442,0.52463,1.4821,0.7808,0.01209,0.0013796,0.0013796,0.0013796
49,3358.72,1.30788,0.85991,0.00907,0.9002,0.80177,0.88657,0.51569,1.47967,0.73649,0.01203,0.0013664,0.0013664,0.0013664
50,3425.41,1.2978,0.86073,0.00897,0.89077,0.81021,0.88557,0.52406,1.4464,0.75949,0.01177,0.0013532,0.0013532,0.0013532
51,3492.44,1.2947,0.85882,0.00879,0.90357,0.80051,0.89224,0.51605,1.48744,0.73532,0.01217,0.00134,0.00134,0.00134
52,3558.95,1.29395,0.85428,0.00877,0.89023,0.7984,0.88776,0.51886,1.47741,0.755,0.01206,0.0013268,0.0013268,0.0013268
53,3626.59,1.28922,0.83709,0.00881,0.88838,0.80902,0.88894,0.52583,1.44771,0.74856,0.01189,0.0013136,0.0013136,0.0013136
54,3693.63,1.27431,0.84431,0.00859,0.88528,0.80768,0.88408,0.51852,1.4548,0.78045,0.01186,0.0013004,0.0013004,0.0013004
55,3760.5,1.27401,0.82428,0.00863,0.89306,0.8136,0.89362,0.52698,1.45566,0.7411,0.01178,0.0012872,0.0012872,0.0012872
56,3827.97,1.27766,0.81522,0.00862,0.90215,0.81485,0.89057,0.52513,1.44314,0.75166,0.01159,0.001274,0.001274,0.001274
57,3895.37,1.26739,0.80754,0.00854,0.89614,0.80725,0.89024,0.52548,1.44323,0.76019,0.01185,0.0012608,0.0012608,0.0012608
58,3962.05,1.24802,0.80104,0.00824,0.89149,0.81777,0.89154,0.53001,1.43886,0.7495,0.01155,0.0012476,0.0012476,0.0012476
59,4029.96,1.25016,0.8008,0.00837,0.89421,0.8093,0.89256,0.52444,1.43945,0.74485,0.01176,0.0012344,0.0012344,0.0012344
60,4097.78,1.24663,0.79284,0.00845,0.89727,0.80683,0.88991,0.53162,1.44296,0.7227,0.01172,0.0012212,0.0012212,0.0012212
61,4165.43,1.23815,0.78775,0.0083,0.91071,0.81358,0.89357,0.52956,1.43745,0.7438,0.01147,0.001208,0.001208,0.001208
62,4231.72,1.22618,0.77701,0.00823,0.8984,0.80936,0.88931,0.53267,1.43469,0.73654,0.01167,0.0011948,0.0011948,0.0011948
63,4300.79,1.22473,0.77161,0.00818,0.9011,0.80304,0.89226,0.53105,1.42323,0.74115,0.01147,0.0011816,0.0011816,0.0011816
64,4368.13,1.21413,0.7719,0.0081,0.91634,0.79291,0.88596,0.52374,1.45463,0.7365,0.01167,0.0011684,0.0011684,0.0011684
65,4435.97,1.21633,0.76131,0.00807,0.92341,0.8043,0.89321,0.5316,1.44134,0.71741,0.01161,0.0011552,0.0011552,0.0011552
66,4502.18,1.22355,0.76683,0.00822,0.91281,0.79477,0.8887,0.52991,1.43408,0.73837,0.01152,0.001142,0.001142,0.001142
67,4568.53,1.19968,0.75489,0.00783,0.92794,0.80924,0.89724,0.53713,1.42616,0.73304,0.01139,0.0011288,0.0011288,0.0011288
68,4644.56,1.19323,0.75891,0.00791,0.91605,0.81189,0.89668,0.53696,1.43193,0.72787,0.01155,0.0011156,0.0011156,0.0011156
