epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2887.41,1.31481,0.91161,0.01,0.88942,0.80177,0.88284,0.50895,1.50801,0.7907,0.01226,0.0014588,0.0014588,0.0014588
43,2955.11,1.31359,0.9182,0.00985,0.8843,0.79924,0.87701,0.50435,1.49845,0.79387,0.0123,0.0014456,0.0014456,0.0014456
44,3022.44,1.30603,0.91339,0.00971,0.88136,0.80177,0.88167,0.50303,1.50231,0.80048,0.01226,0.0014324,0.0014324,0.0014324
45,3089.93,1.2941,0.9131,0.00968,0.89345,0.79713,0.88433,0.50522,1.4942,0.79768,0.01198,0.0014192,0.0014192,0.0014192
46,3157.6,1.28788,0.89173,0.0096,0.87588,0.79629,0.8775,0.51237,1.47549,0.81291,0.01207,0.001406,0.001406,0.001406
47,3226.2,1.28079,0.87377,0.0097,0.88315,0.80965,0.88295,0.50917,1.47981,0.7896,0.01205,0.0013928,0.0013928,0.0013928
48,3293.3,1.28183,0.88236,0.00937,0.88932,0.80472,0.87602,0.50459,1.51073,0.80624,0.01231,0.0013796,0.0013796,0.0013796
49,3360.82,1.27077,0.87147,0.00946,0.87946,0.79165,0.87276,0.49708,1.48843,0.7894,0.01209,0.0013664,0.0013664,0.0013664
50,3428.74,1.2631,0.85259,0.00938,0.88861,0.7974,0.88453,0.50714,1.47511,0.76659,0.01216,0.0013532,0.0013532,0.0013532
51,3496.3,1.2549,0.85672,0.00931,0.89255,0.79527,0.87782,0.51095,1.48594,0.78996,0.01203,0.00134,0.00134,0.00134
52,3563.53,1.26171,0.84359,0.0094,0.89681,0.8043,0.89158,0.51921,1.46213,0.75354,0.01183,0.0013268,0.0013268,0.0013268
53,3632.31,1.24874,0.83416,0.00939,0.89223,0.81009,0.8888,0.51223,1.47892,0.74415,0.01205,0.0013136,0.0013136,0.0013136
54,3699.78,1.24097,0.82044,0.00907,0.88294,0.80177,0.88573,0.51025,1.49596,0.76842,0.01225,0.0013004,0.0013004,0.0013004
55,3767.35,1.22336,0.8245,0.00912,0.91394,0.80515,0.89079,0.52434,1.43975,0.74235,0.01146,0.0012872,0.0012872,0.0012872
56,3835.36,1.22366,0.80167,0.009,0.89333,0.80182,0.89539,0.52153,1.46183,0.74385,0.01192,0.001274,0.001274,0.001274
57,3903.4,1.21882,0.79239,0.00903,0.9059,0.80683,0.88853,0.52067,1.48205,0.753,0.01197,0.0012608,0.0012608,0.0012608
58,3971.15,1.22114,0.7994,0.00901,0.89768,0.79925,0.88488,0.52212,1.4623,0.77693,0.01182,0.0012476,0.0012476,0.0012476
59,4038.74,1.20138,0.7927,0.00891,0.9062,0.78617,0.88354,0.51773,1.45648,0.77266,0.01149,0.0012344,0.0012344,0.0012344
60,4106.08,1.20134,0.77602,0.00881,0.91005,0.80051,0.88881,0.52796,1.45463,0.75253,0.01181,0.0012212,0.0012212,0.0012212
61,4174.67,1.19625,0.76624,0.00876,0.8866,0.80641,0.88885,0.52368,1.44847,0.75779,0.01157,0.001208,0.001208,0.001208
62,4242.6,1.19826,0.7671,0.0088,0.88327,0.8237,0.89611,0.52755,1.44591,0.74134,0.01135,0.0011948,0.0011948,0.0011948
63,4310.48,1.19688,0.77062,0.0088,0.9008,0.79278,0.88417,0.52559,1.45422,0.77597,0.01178,0.0011816,0.0011816,0.0011816
64,4377.71,1.18625,0.77204,0.00866,0.91323,0.79798,0.89406,0.53044,1.44378,0.74529,0.01139,0.0011684,0.0011684,0.0011684
65,4445.87,1.17339,0.75783,0.00863,0.90285,0.80349,0.89115,0.53618,1.43203,0.72789,0.01156,0.0011552,0.0011552,0.0011552
66,4514.22,1.17534,0.74301,0.00853,0.89896,0.81063,0.88953,0.52962,1.43942,0.75739,0.01147,0.001142,0.001142,0.001142
67,4582.04,1.17247,0.74423,0.00865,0.90631,0.80683,0.89274,0.52489,1.44838,0.76564,0.01147,0.0011288,0.0011288,0.0011288
68,4649.7,1.1506,0.72646,0.00831,0.90411,0.79798,0.89514,0.53452,1.44713,0.74728,0.01165,0.0011156,0.0011156,0.0011156
69,4717.08,1.14364,0.72651,0.00824,0.89221,0.8239,0.88954,0.53508,1.43271,0.75327,0.01152,0.0011024,0.0011024,0.0011024
70,4784.68,1.15453,0.71955,0.00837,0.9023,0.80135,0.88549,0.53049,1.44398,0.76195,0.01174,0.0010892,0.0010892,0.0010892
71,4852.3,1.13667,0.71343,0.00825,0.91514,0.79291,0.88925,0.53038,1.4506,0.75782,0.01175,0.001076,0.001076,0.001076
72,4919.51,1.14124,0.71444,0.00835,0.90961,0.80642,0.89633,0.53341,1.44095,0.73231,0.01163,0.0010628,0.0010628,0.0010628
73,4987.27,1.14117,0.70974,0.00818,0.92323,0.79637,0.88674,0.52982,1.43294,0.77102,0.01155,0.0010496,0.0010496,0.0010496
74,5054.5,1.14327,0.72258,0.0082,0.91444,0.81738,0.89913,0.53312,1.43418,0.73313,0.0116,0.0010364,0.0010364,0.0010364
75,5122.5,1.12806,0.69634,0.0082,0.92902,0.79629,0.89745,0.53451,1.42901,0.71651,0.01144,0.0010232,0.0010232,0.0010232
76,5190.04,1.1301,0.70986,0.00824,0.91693,0.7961,0.88963,0.53138,1.44886,0.74374,0.01151,0.00101,0.00101,0.00101
77,5257.92,1.11182,0.6889,0.00796,0.90857,0.82146,0.90172,0.54206,1.4365,0.73279,0.01143,0.0009968,0.0009968,0.0009968
78,5325.83,1.11774,0.69435,0.00802,0.90996,0.80988,0.89258,0.53046,1.44965,0.74351,0.01165,0.0009836,0.0009836,0.0009836
79,5393.46,1.09794,0.6759,0.008,0.8942,0.81275,0.896,0.53459,1.45002,0.72478,0.01168,0.0009704,0.0009704,0.0009704
80,5461.2,1.10444,0.68053,0.00789,0.9176,0.80781,0.89736,0.53225,1.45554,0.71271,0.01169,0.0009572,0.0009572,0.0009572
81,5528.5,1.09398,0.66116,0.00793,0.92239,0.81202,0.90046,0.54039,1.4472,0.72728,0.01149,0.000944,0.000944,0.000944
82,5596.1,1.09642,0.66914,0.00777,0.89989,0.82412,0.8941,0.53563,1.4396,0.747,0.01153,0.0009308,0.0009308,0.0009308
83,5663.64,1.09545,0.66295,0.00779,0.90647,0.82166,0.89884,0.53994,1.43061,0.72839,0.01146,0.0009176,0.0009176,0.0009176
84,5731.25,1.06294,0.65777,0.00756,0.90195,0.81822,0.89413,0.53559,1.44024,0.72896,0.01148,0.0009044,0.0009044,0.0009044
85,5799.06,1.08088,0.66,0.00772,0.91039,0.81409,0.89617,0.54023,1.4213,0.73767,0.0114,0.0008912,0.0008912,0.0008912
86,5866.16,1.06876,0.65172,0.0076,0.88938,0.8274,0.89543,0.53926,1.43181,0.72076,0.01146,0.000878,0.000878,0.000878
87,5933.55,1.06817,0.64002,0.00744,0.91337,0.81381,0.89658,0.54121,1.42666,0.71289,0.01144,0.0008648,0.0008648,0.0008648
88,6000.83,1.06492,0.64858,0.0075,0.91619,0.81485,0.8967,0.54317,1.42061,0.72751,0.01139,0.0008516,0.0008516,0.0008516
89,6068.57,1.05156,0.62893,0.00738,0.90668,0.82362,0.89352,0.53725,1.43636,0.7359,0.01154,0.0008384,0.0008384,0.0008384
90,6135.71,1.06383,0.63456,0.00756,0.92549,0.81569,0.89721,0.54258,1.41837,0.7222,0.01142,0.0008252,0.0008252,0.0008252
91,6203.6,1.03643,0.62574,0.00739,0.91809,0.81274,0.8971,0.54175,1.4268,0.7317,0.01145,0.000812,0.000812,0.000812
92,6270.55,1.05695,0.63746,0.00746,0.91476,0.81485,0.89622,0.53675,1.42294,0.7267,0.01144,0.0007988,0.0007988,0.0007988
93,6338,1.05008,0.62987,0.00734,0.8995,0.81915,0.89396,0.53946,1.43567,0.7334,0.01148,0.0007856,0.0007856,0.0007856
94,6405.13,1.03996,0.62064,0.00738,0.92969,0.81105,0.89658,0.53719,1.43426,0.73594,0.01138,0.0007724,0.0007724,0.0007724
95,6472.32,1.04153,0.62659,0.00743,0.91477,0.81274,0.89749,0.54153,1.42145,0.72656,0.01126,0.0007592,0.0007592,0.0007592
96,6539.95,1.02113,0.6144,0.00718,0.90556,0.82906,0.8931,0.54267,1.43272,0.71659,0.01144,0.000746,0.000746,0.000746
97,6607,1.03373,0.62288,0.00726,0.90726,0.82919,0.89941,0.54439,1.42401,0.71864,0.01127,0.0007328,0.0007328,0.0007328
98,6675.56,1.0164,0.59361,0.00717,0.92077,0.81855,0.89633,0.5408,1.43377,0.74179,0.01132,0.0007196,0.0007196,0.0007196
99,6742.77,1.02104,0.60031,0.00717,0.92166,0.81569,0.89641,0.54036,1.42831,0.72106,0.01139,0.0007064,0.0007064,0.0007064
100,6810.34,1.01113,0.59383,0.00696,0.88863,0.83461,0.89386,0.54206,1.43191,0.72549,0.01148,0.0006932,0.0006932,0.0006932
101,6877.89,1.00746,0.59334,0.00697,0.92903,0.80604,0.892,0.53671,1.43418,0.7588,0.01138,0.00068,0.00068,0.00068
102,6945.01,0.99252,0.58436,0.00698,0.91024,0.82122,0.88856,0.54067,1.4233,0.75251,0.01128,0.0006668,0.0006668,0.0006668
