epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1237.31,1.37374,0.8963,0.0094,0.86259,0.59838,0.69327,0.36233,1.8424,1.59894,0.01658,0.0014588,0.0014588,0.0014588
43,1267.87,1.34183,0.83862,0.00919,0.83862,0.64867,0.71874,0.38416,1.75991,1.47872,0.0163,0.0014456,0.0014456,0.0014456
44,1298.62,1.33583,0.85952,0.00915,0.85246,0.64066,0.71889,0.36879,1.81021,1.43316,0.01687,0.0014324,0.0014324,0.0014324
45,1326.38,1.33104,0.85467,0.00922,0.83816,0.61815,0.69871,0.35059,1.87783,1.43232,0.0169,0.0014192,0.0014192,0.0014192
46,1357.7,1.32914,0.84678,0.00929,0.84141,0.64895,0.72364,0.3638,1.86479,1.33596,0.01724,0.001406,0.001406,0.001406
47,1388.65,1.34858,0.84828,0.00906,0.85524,0.57866,0.66207,0.35159,1.81591,1.80763,0.01618,0.0013928,0.0013928,0.0013928
48,1420.14,1.33265,0.85083,0.0091,0.84787,0.60101,0.6966,0.36363,1.83583,1.62353,0.01677,0.0013796,0.0013796,0.0013796
49,1450.94,1.31568,0.85056,0.00901,0.84185,0.58035,0.64537,0.33465,1.87656,1.8168,0.017,0.0013664,0.0013664,0.0013664
50,1478.44,1.30529,0.8268,0.00901,0.85372,0.65626,0.73302,0.39492,1.75205,1.38418,0.01571,0.0013532,0.0013532,0.0013532
51,1508.33,1.29599,0.81319,0.00889,0.85427,0.57992,0.65121,0.33954,1.83001,1.7248,0.01606,0.00134,0.00134,0.00134
52,1538.52,1.29029,0.80501,0.00861,0.84591,0.5892,0.67013,0.34037,1.85975,1.66788,0.01667,0.0013268,0.0013268,0.0013268
53,1569.14,1.26877,0.80552,0.00846,0.88026,0.5953,0.67227,0.35156,1.82387,1.66835,0.01642,0.0013136,0.0013136,0.0013136
54,1596.76,1.28829,0.81269,0.00871,0.86365,0.60692,0.68497,0.33991,1.89238,1.50638,0.01743,0.0013004,0.0013004,0.0013004
55,1624.27,1.26498,0.77416,0.00828,0.85381,0.61091,0.67557,0.34974,1.85795,1.5925,0.01663,0.0012872,0.0012872,0.0012872
56,1651.98,1.2719,0.79731,0.00862,0.86171,0.61577,0.70284,0.37121,1.80994,1.49482,0.01636,0.001274,0.001274,0.001274
